#{"t_start": 1711030212.498167, "env_id": "LunarLander-v2"}
r,l,t
293.430751,323,179.006261
274.081698,309,179.224359
19.511192,149,180.138762
268.751286,246,180.315163
256.047969,234,180.480168
270.648643,321,180.8154
255.500804,266,180.973536
279.573289,292,181.141402
195.026286,369,181.356677
246.13981,294,181.526412
277.379584,293,181.73947
269.117413,217,181.892941
263.252033,310,182.112604
281.448653,290,182.320296
256.374775,260,183.415646
275.999655,288,183.628188
252.951892,237,183.798093
8.186406,199,183.964642
261.40428,262,184.170856
251.193908,284,184.388514
198.143646,408,184.705978
164.64225,502,185.839413
273.07923,302,186.04727
-9.051714,156,186.154967
240.564685,257,186.333251
28.084213,231,186.49091
238.711142,325,186.71353
258.661322,225,186.867757
274.055806,256,187.04449
16.71753,238,187.95389
269.183994,286,188.149903
241.599489,241,188.31526
261.296703,281,188.512873
42.290788,176,188.634574
29.277186,240,188.801022
256.634501,215,188.951188
249.006982,229,189.10938
275.163615,225,189.26539
3.158539,241,190.240714
32.273383,216,190.389751
262.037034,254,190.563567
257.378345,298,190.768526
257.695959,258,190.944764
282.402732,313,191.159941
278.881741,278,191.352251
238.500337,245,192.287646
253.962684,279,192.480735
199.434695,450,192.86039
42.378973,234,192.994983
249.152451,245,193.132343
284.20637,272,193.286366
267.777634,274,193.440869
246.754302,240,193.61047
42.658742,233,193.76887
240.491293,264,193.949455
258.862317,258,194.125343
285.023656,282,194.317789
26.324726,165,194.431378
273.570435,286,195.406122
232.008583,246,195.574394
274.056526,287,195.769676
31.671004,208,195.911189
259.885089,237,196.07314
36.95537,225,196.226224
238.249617,261,196.405859
239.342136,258,196.584185
232.687327,248,197.49643
228.326997,560,197.881811
243.533516,243,198.047522
262.109647,275,198.234948
258.474615,254,198.40972
250.215451,246,198.581408
246.884176,295,198.783025
272.963875,270,199.749719
261.113332,278,199.943869
10.899124,241,200.110358
250.260415,242,200.275681
240.143666,272,200.464225
-19.105167,223,200.617778
283.788155,253,200.794527
265.474465,369,201.866581
280.707137,367,202.125295
271.825287,245,202.298883
230.401115,228,202.458073
255.423427,335,202.69702
174.949877,631,203.146447
243.817168,255,204.149268
247.825438,293,204.465445
5.144237,188,204.571444
233.268734,264,204.719421
255.699445,324,204.900737
273.630351,284,205.061478
267.072502,214,205.211107
230.953868,253,205.383587
18.939696,194,205.516384
266.744387,251,205.686794
270.181057,311,205.898223
254.17431,233,206.055952
272.858693,326,206.278004
276.400524,248,207.266894
268.533815,244,207.432695
218.900215,630,207.865543
54.588671,195,207.998616
255.921136,250,208.168088
243.090746,250,208.338009
32.618973,201,208.476605
288.305721,245,209.499376
270.919636,286,209.696569
281.147267,295,209.899577
259.009778,260,210.077893
251.123031,231,210.236463
251.578244,257,210.41461
274.437529,279,210.608144
282.691526,294,211.623037
276.846255,286,211.818268
259.658773,230,211.974638
242.615604,295,212.175385
40.666776,169,212.29
238.088218,256,212.464742
44.08842,212,212.610697
277.390282,237,212.772706
282.175606,232,212.93057
270.740724,293,213.944703
73.206054,173,214.064371
273.834964,226,214.220515
246.698676,303,214.428568
240.687922,276,214.623669
228.506784,394,214.895122
265.891199,231,215.053103
250.716077,250,216.106464
273.249927,318,216.289706
268.445518,340,216.482546
222.009683,266,216.637503
273.485572,291,216.801766
272.864309,292,217.005634
206.437121,357,217.25382
258.511306,282,217.446322
265.751898,281,217.640062
275.237189,225,217.79416
246.041456,227,217.949282
255.500126,247,218.11814
6.985272,1000,219.568322
251.042898,296,219.771172
238.445461,224,219.924405
282.440085,297,220.127285
244.854611,322,220.348869
231.334127,229,221.259486
-5.010294,231,221.421072
273.141279,224,221.577286
284.647108,299,221.784547
190.162912,439,222.09059
287.904258,300,222.297504
245.562612,234,222.45888
229.389383,254,223.449895
265.53416,239,223.613952
246.845879,243,223.779523
284.720493,237,223.941265
262.209746,219,224.090317
232.722047,225,224.243272
219.905252,241,224.407738
255.918676,250,224.578677
251.818665,245,224.7463
268.335727,257,225.73743
273.460512,252,225.910755
20.985007,1000,226.61302
26.370574,217,226.763318
236.83462,501,227.127925
257.702977,282,227.290061
267.89991,309,227.464577
270.795729,289,227.629292
289.475358,246,227.766775
253.692924,290,228.79596
26.716171,214,228.942713
-5.321084,221,229.09457
210.584465,511,229.450169
255.719731,269,229.635198
261.484089,295,229.837207
259.094469,293,230.037934
261.25435,275,231.042315
277.934058,261,231.221139
264.679989,218,231.372737
240.835492,254,231.54567
212.056285,605,231.96149
258.9581,230,232.118312
251.097447,435,233.237483
232.231561,239,233.410919
249.387748,244,233.581914
232.750838,213,233.729049
296.182681,275,233.922069
45.802197,184,234.057811
242.025351,240,234.222076
273.990431,266,234.404318
247.469522,246,234.573278
266.935121,248,235.557622
240.979,242,235.723319
275.276743,266,235.916371
271.762641,256,236.092447
260.134772,258,236.315687
43.25362,141,236.418476
-27.576664,159,236.527417
269.826547,337,236.763477
8.720518,124,236.848549
-94.255426,348,237.909468
68.340536,231,238.067198
274.703111,270,238.255616
220.902197,227,238.415729
259.771385,276,238.609337
254.910376,286,238.808363
251.150337,274,238.998589
237.602401,253,239.139588
38.726807,255,239.282118
229.185438,265,239.430736
248.050561,287,239.591159
17.485195,150,239.724683
264.451839,247,239.894997
171.467126,331,240.938534
230.868186,265,241.119086
265.619425,252,241.291044
274.997462,301,241.499867
55.265085,218,241.648524
244.142755,263,241.82821
260.073494,287,242.023942
280.16159,251,243.008067
278.024446,220,243.159251
